Date,Open,High,Low,Close,Adj. Close,Volume
"Feb 18, 2020",76.57,76.69,76.36,76.46,76.46,281300.0
"Feb 19, 2020",76.84,76.89,76.4,76.42,76.42,271600.0
"Feb 20, 2020",76.3,76.5,76.06,76.32,76.32,351800.0
"Feb 21, 2020",76.09,76.64,76.09,76.47,76.47,365400.0
"Feb 24, 2020",75.36,75.72,74.81,74.86,74.86,757300.0
"Feb 25, 2020",74.91,75.1,72.83,73.01,73.01,877500.0
"Feb 26, 2020",73.04,73.52,71.47,71.65,71.65,773100.0
"Feb 27, 2020",70.86,71.0,69.13,69.16,69.16,1103700.0
"Feb 28, 2020",68.0,68.69,66.61,67.88,67.88,1110800.0
"Mar 02, 2020",68.0,69.19,67.33,69.1,69.1,695400.0
"Mar 03, 2020",68.93,69.79,67.2,67.24,67.24,973100.0
"Mar 04, 2020",67.88,68.35,66.71,67.87,67.87,667200.0
"Mar 05, 2020",66.73,66.8,65.05,65.54,65.54,779000.0
"Mar 06, 2020",64.12,64.34,62.8,62.94,62.94,2717700.0
"Mar 09, 2020",58.39,59.81,52.94,53.38,53.38,2036900.0
"Mar 10, 2020",56.18,56.3,52.15,55.24,55.24,2435800.0
"Mar 11, 2020",54.34,54.51,52.41,52.66,52.66,1676500.0
"Mar 12, 2020",49.06,49.13,43.26,44.17,44.17,1561300.0
"Mar 13, 2020",47.35,51.14,46.17,51.14,51.14,1763600.0
"Mar 16, 2020",44.61,47.19,43.69,44.2,44.2,1224200.0
"Mar 17, 2020",44.88,44.88,41.79,43.39,43.39,1340200.0
"Mar 18, 2020",41.1,41.54,38.31,40.78,40.78,1899300.0
"Mar 19, 2020",40.21,42.69,40.18,41.89,41.89,1137100.0
"Mar 20, 2020",43.58,47.35,42.04,43.15,43.15,1931200.0
"Mar 23, 2020",42.53,43.62,38.4,38.71,38.71,1907300.0
"Mar 24, 2020",42.08,44.4,40.83,44.36,44.36,1015500.0
"Mar 25, 2020",45.82,51.35,44.89,48.24,48.24,2204000.0
"Mar 26, 2020",49.34,51.86,48.73,49.81,49.81,1332700.0
"Mar 27, 2020",47.33,49.11,46.17,47.57,47.57,952700.0
"Mar 30, 2020",47.0,48.02,45.67,47.87,47.87,965900.0
"Mar 31, 2020",47.24,50.97,47.24,50.26,50.26,1268500.0
"Apr 01, 2020",48.04,48.44,47.0,47.25,47.25,2292300.0
"Apr 02, 2020",47.26,49.48,47.08,47.94,47.94,795600.0
"Apr 03, 2020",48.07,48.59,46.61,47.37,47.37,705500.0
"Apr 06, 2020",49.97,50.15,48.62,49.99,49.99,822400.0
"Apr 07, 2020",53.06,53.89,51.25,51.51,51.51,1468800.0
"Apr 08, 2020",51.96,53.59,50.84,53.3,53.3,821100.0
"Apr 09, 2020",54.08,55.34,53.04,53.77,53.77,1130800.0
"Apr 13, 2020",54.34,54.34,52.25,53.05,53.05,2306800.0
"Apr 14, 2020",53.61,54.1,51.93,52.3,52.3,896600.0
"Apr 15, 2020",50.26,50.57,49.15,49.21,49.21,2029900.0
"Apr 16, 2020",49.27,49.57,47.41,47.53,47.53,969700.0
"Apr 17, 2020",50.38,50.38,49.1,49.84,49.84,1693800.0
